"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
23,"No",53,"Sales","Manager","Female","Married","Travel_Rarely",2,4,"Life Sciences",1,2,4,4,15427,2,"No",16,3,3,0,31,3,3,25,8,3,7,"45-54","10+ years","10000+","1-5","2-3 years",0
24,"No",38,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",2,3,"Life Sciences",4,3,1,4,3944,5,"Yes",11,3,3,0,6,3,3,3,2,1,2,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
26,"No",24,"Research & Development","Manufacturing Director","Female","Divorced","Non-Travel",11,2,"Other",1,4,2,3,4011,0,"No",18,3,4,1,5,5,2,4,2,1,3,"Under 25","3-5 years","3000-4999","11-20","0-1 years",0
27,"Yes",36,"Sales","Sales Representative","Male","Single","Travel_Rarely",9,4,"Life Sciences",3,2,1,1,3407,7,"No",23,4,2,0,10,4,3,5,3,0,3,"35-44","3-5 years","3000-4999","6-10","0-1 years",1
28,"No",34,"Research & Development","Research Director","Female","Single","Travel_Rarely",7,4,"Life Sciences",1,3,3,2,11994,0,"No",11,3,3,0,13,4,3,12,6,2,11,"25-34","10+ years","10000+","6-10","2-3 years",0
30,"No",21,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",15,2,"Life Sciences",3,3,1,4,1232,1,"No",14,3,4,0,0,6,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","11-20","0-1 years",0
31,"Yes",34,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",6,1,"Medical",2,3,1,1,2960,2,"No",11,3,3,0,8,2,3,4,2,1,3,"25-34","3-5 years","Under 3000","6-10","0-1 years",1
32,"No",53,"Research & Development","Manager","Female","Divorced","Travel_Rarely",5,3,"Other",3,3,5,3,19094,4,"No",11,3,4,1,26,3,2,14,13,4,8,"45-54","10+ years","10000+","1-5","4-5 years",0
33,"Yes",32,"Research & Development","Research Scientist","Female","Single","Travel_Frequently",16,1,"Life Sciences",2,1,1,1,3919,1,"Yes",22,4,2,0,10,5,3,10,2,6,7,"25-34","6-10 years","3000-4999","11-20","6+ years",1
35,"No",42,"Sales","Sales Executive","Male","Married","Travel_Rarely",8,4,"Marketing",3,3,2,2,6825,0,"No",11,3,4,1,10,2,3,9,7,4,2,"35-44","6-10 years","5000-6999","6-10","4-5 years",0
36,"No",44,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",7,4,"Medical",1,2,3,4,10248,3,"No",14,3,4,1,24,4,3,22,6,5,17,"35-44","10+ years","10000+","6-10","4-5 years",0
38,"No",46,"Sales","Manager","Female","Single","Travel_Rarely",2,4,"Marketing",2,3,5,1,18947,3,"No",12,3,4,0,22,2,2,2,2,2,1,"45-54","1-2 years","10000+","1-5","2-3 years",0
39,"No",33,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",2,3,"Medical",3,3,1,4,2496,4,"No",11,3,4,0,7,3,3,1,1,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
40,"No",44,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",10,4,"Other",4,3,2,4,6465,2,"Yes",13,3,4,0,9,5,4,4,2,1,3,"35-44","3-5 years","5000-6999","6-10","0-1 years",0
41,"No",30,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",9,2,"Medical",4,2,1,3,2206,1,"No",13,3,1,0,10,5,3,10,0,1,8,"25-34","6-10 years","Under 3000","6-10","0-1 years",0
42,"Yes",39,"Sales","Sales Representative","Male","Married","Travel_Rarely",5,3,"Technical Degree",4,3,2,4,2086,3,"No",14,3,3,1,19,6,4,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",1
45,"Yes",24,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,3,"Medical",2,3,1,4,2293,2,"Yes",16,3,1,1,6,2,2,2,0,2,0,"Under 25","1-2 years","Under 3000","1-5","2-3 years",1
46,"No",43,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",2,2,"Medical",4,4,1,3,2645,1,"No",12,3,4,2,6,3,2,5,3,1,4,"35-44","3-5 years","Under 3000","1-5","0-1 years",0
47,"Yes",50,"Sales","Sales Representative","Male","Married","Travel_Rarely",3,2,"Marketing",1,2,1,3,2683,1,"Yes",14,3,3,0,3,2,3,3,2,0,2,"45-54","3-5 years","Under 3000","1-5","0-1 years",1
49,"No",35,"Sales","Sales Representative","Female","Married","Travel_Rarely",2,3,"Marketing",4,3,1,4,2014,1,"No",13,3,1,0,2,3,3,2,2,2,2,"35-44","1-2 years","Under 3000","1-5","2-3 years",0
51,"No",36,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",5,4,"Life Sciences",2,2,1,1,3419,9,"Yes",14,3,4,1,6,3,4,1,1,0,0,"35-44","1-2 years","3000-4999","1-5","0-1 years",0
52,"No",33,"Sales","Sales Executive","Female","Married","Travel_Frequently",1,3,"Life Sciences",3,4,2,1,5376,2,"No",19,3,1,2,10,3,3,5,3,1,3,"25-34","3-5 years","5000-6999","1-5","0-1 years",0
53,"No",35,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",4,2,"Other",3,3,1,4,1951,1,"No",12,3,3,1,1,3,3,1,0,0,0,"35-44","1-2 years","Under 3000","1-5","0-1 years",0
54,"No",27,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",2,4,"Life Sciences",4,3,1,1,2341,1,"No",13,3,4,1,1,6,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
55,"Yes",26,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",25,3,"Life Sciences",1,1,1,3,2293,1,"No",12,3,3,0,1,2,2,1,0,0,1,"25-34","1-2 years","Under 3000","21+","0-1 years",1
56,"No",27,"Sales","Sales Executive","Male","Single","Travel_Frequently",8,3,"Life Sciences",4,3,3,3,8726,1,"No",15,3,4,0,9,0,3,9,8,1,7,"25-34","6-10 years","7000-9999","6-10","0-1 years",0
57,"No",30,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",1,2,"Medical",3,3,2,4,4011,1,"No",23,4,4,0,12,2,3,12,8,3,7,"25-34","10+ years","3000-4999","1-5","2-3 years",0
58,"Yes",41,"Research & Development","Research Director","Female","Married","Travel_Rarely",12,3,"Technical Degree",2,3,5,3,19545,1,"No",12,3,4,0,23,0,3,22,15,15,8,"35-44","10+ years","10000+","11-20","6+ years",1
60,"No",34,"Sales","Sales Executive","Male","Single","Non-Travel",23,4,"Marketing",2,3,2,3,4568,0,"No",20,4,3,0,10,2,3,9,5,8,7,"25-34","6-10 years","3000-4999","21+","6+ years",0
61,"No",37,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",19,2,"Life Sciences",2,3,1,2,3022,4,"No",21,4,1,0,8,1,3,1,0,0,0,"35-44","1-2 years","3000-4999","11-20","0-1 years",0
62,"No",46,"Sales","Sales Executive","Male","Single","Travel_Frequently",5,4,"Marketing",1,3,2,4,5772,4,"Yes",21,4,3,0,14,4,3,9,6,0,8,"45-54","6-10 years","5000-6999","1-5","0-1 years",0
63,"No",35,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",8,1,"Life Sciences",4,4,1,4,2269,1,"No",19,3,4,0,1,2,3,1,0,0,1,"35-44","1-2 years","Under 3000","6-10","0-1 years",0
64,"Yes",48,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",1,2,"Life Sciences",1,2,3,3,5381,9,"Yes",13,3,4,0,23,2,3,1,0,0,0,"45-54","1-2 years","5000-6999","1-5","0-1 years",1
65,"Yes",28,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",5,4,"Technical Degree",3,3,1,3,3441,1,"Yes",13,3,3,0,2,3,2,2,2,2,2,"25-34","1-2 years","3000-4999","1-5","2-3 years",1
68,"No",44,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",1,5,"Marketing",2,3,2,1,5454,5,"Yes",21,4,3,1,9,2,2,4,3,1,3,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
70,"No",35,"Research & Development","Healthcare Representative","Male","Married","Non-Travel",11,2,"Medical",3,2,3,1,9884,2,"Yes",13,3,3,1,10,3,3,4,0,2,3,"35-44","3-5 years","7000-9999","11-20","2-3 years",0
72,"No",26,"Sales","Sales Executive","Female","Married","Travel_Rarely",23,3,"Marketing",3,2,2,4,4157,7,"Yes",19,3,3,1,5,2,2,2,2,0,0,"25-34","1-2 years","3000-4999","21+","0-1 years",0
73,"No",33,"Research & Development","Research Director","Female","Single","Travel_Frequently",1,2,"Life Sciences",1,3,3,4,13458,1,"Yes",12,3,3,0,15,1,3,15,14,8,12,"25-34","10+ years","10000+","1-5","6+ years",0
74,"No",35,"Sales","Sales Executive","Male","Married","Travel_Frequently",18,5,"Life Sciences",2,3,3,1,9069,1,"No",22,4,4,1,9,3,2,9,8,1,8,"35-44","6-10 years","7000-9999","11-20","0-1 years",0
75,"No",35,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",23,4,"Medical",3,3,1,1,4014,3,"Yes",15,3,3,1,4,3,3,2,2,2,2,"35-44","1-2 years","3000-4999","21+","2-3 years",0
76,"No",31,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",7,4,"Life Sciences",4,3,2,4,5915,3,"No",22,4,4,1,10,3,2,7,7,1,7,"25-34","6-10 years","5000-6999","6-10","0-1 years",0
77,"No",37,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",1,4,"Life Sciences",1,2,2,3,5993,1,"No",18,3,3,1,7,2,4,7,5,0,7,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
78,"No",32,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",1,3,"Medical",1,3,2,4,6162,1,"Yes",22,4,2,1,9,3,3,9,8,7,8,"25-34","6-10 years","5000-6999","1-5","6+ years",0
79,"No",38,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",29,5,"Life Sciences",4,3,2,4,2406,1,"No",11,3,4,0,10,2,3,10,3,9,9,"35-44","6-10 years","Under 3000","21+","6+ years",0
80,"No",50,"Research & Development","Research Director","Female","Divorced","Travel_Rarely",7,2,"Medical",2,2,5,3,18740,5,"Yes",12,3,4,1,29,2,2,27,3,13,8,"45-54","10+ years","10000+","6-10","6+ years",0
81,"No",59,"Sales","Sales Executive","Female","Single","Travel_Rarely",25,3,"Life Sciences",1,3,3,1,7637,7,"No",11,3,4,0,28,3,2,21,16,7,9,"55+","10+ years","7000-9999","21+","6+ years",0
83,"No",36,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",8,3,"Technical Degree",3,3,3,3,10096,1,"No",13,3,2,3,17,2,3,17,14,12,8,"35-44","10+ years","10000+","6-10","6+ years",0
84,"No",55,"Research & Development","Manager","Female","Divorced","Travel_Rarely",8,3,"Medical",4,3,4,3,14756,2,"Yes",14,3,3,3,21,2,3,5,0,0,2,"55+","3-5 years","10000+","6-10","0-1 years",0
85,"No",36,"Research & Development","Manufacturing Director","Male","Single","Travel_Frequently",11,3,"Life Sciences",2,2,2,2,6499,1,"No",13,3,3,0,6,3,3,6,5,0,3,"35-44","6-10 years","5000-6999","11-20","0-1 years",0
86,"No",45,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",7,3,"Life Sciences",2,3,3,1,9724,2,"No",17,3,3,1,25,2,3,1,0,0,0,"45-54","1-2 years","7000-9999","6-10","0-1 years",0
88,"No",35,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",1,3,"Medical",2,3,1,1,2194,4,"No",13,3,4,1,5,2,2,3,2,1,2,"35-44","3-5 years","Under 3000","1-5","0-1 years",0
90,"Yes",36,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",9,3,"Medical",4,2,1,3,3388,0,"Yes",17,3,1,1,2,0,2,1,0,0,0,"35-44","1-2 years","3000-4999","6-10","0-1 years",1
91,"No",59,"Sales","Sales Executive","Female","Single","Travel_Frequently",1,1,"Life Sciences",1,2,2,3,5473,7,"No",11,3,4,0,20,2,2,4,3,1,3,"55+","3-5 years","5000-6999","1-5","0-1 years",0
94,"No",29,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",2,3,"Life Sciences",3,3,1,2,2703,0,"No",23,4,4,1,6,3,3,5,4,0,4,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
95,"No",31,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",1,4,"Medical",3,3,1,2,2501,1,"No",17,3,2,0,1,4,3,1,1,1,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
96,"No",32,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,3,"Life Sciences",2,3,2,2,6220,1,"No",17,3,2,2,10,3,3,10,4,0,9,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
97,"No",36,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",6,3,"Life Sciences",2,4,1,4,3038,3,"No",12,3,2,0,5,3,3,1,0,0,0,"35-44","1-2 years","3000-4999","6-10","0-1 years",0
98,"No",31,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",8,4,"Life Sciences",3,3,2,4,4424,1,"No",23,4,4,0,11,2,3,11,7,1,8,"25-34","10+ years","3000-4999","6-10","0-1 years",0
100,"No",35,"Sales","Sales Executive","Male","Single","Travel_Rarely",1,4,"Marketing",3,2,2,1,4312,0,"No",14,3,2,0,16,2,3,15,13,2,8,"35-44","10+ years","3000-4999","1-5","2-3 years",0
101,"No",45,"Research & Development","Research Director","Male","Married","Travel_Rarely",6,4,"Other",4,3,3,1,13245,4,"Yes",14,3,2,0,17,3,4,0,0,0,0,"45-54","Under 1 year","10000+","6-10","0-1 years",0
102,"No",37,"Research & Development","Research Director","Male","Single","Travel_Rarely",7,4,"Medical",1,3,3,3,13664,4,"No",13,3,1,0,16,3,4,5,2,0,2,"35-44","3-5 years","10000+","6-10","0-1 years",0
103,"No",46,"Human Resources","Human Resources","Male","Divorced","Travel_Rarely",5,2,"Medical",2,3,2,2,5021,8,"Yes",22,4,4,1,16,2,3,4,2,0,2,"45-54","3-5 years","5000-6999","1-5","0-1 years",0
104,"No",30,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",1,1,"Life Sciences",4,2,2,4,5126,1,"Yes",12,3,3,2,10,1,2,10,8,3,0,"25-34","6-10 years","5000-6999","1-5","2-3 years",0
105,"No",35,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",1,3,"Medical",2,2,1,3,2859,1,"No",18,3,1,0,6,3,3,6,4,0,4,"35-44","6-10 years","Under 3000","1-5","0-1 years",0
106,"No",55,"Sales","Sales Executive","Male","Married","Travel_Rarely",1,2,"Life Sciences",1,3,3,4,10239,3,"No",14,3,4,1,24,4,3,1,0,1,0,"55+","1-2 years","10000+","1-5","0-1 years",0
107,"No",38,"Research & Development","Research Scientist","Female","Divorced","Non-Travel",6,3,"Medical",2,1,2,4,5329,7,"Yes",12,3,4,3,17,3,3,13,11,1,9,"35-44","10+ years","5000-6999","6-10","0-1 years",0
110,"No",34,"Research & Development","Manufacturing Director","Male","Married","Travel_Rarely",1,2,"Medical",1,3,2,2,4325,1,"No",15,3,3,0,5,2,3,5,2,1,3,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
112,"No",56,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",7,3,"Life Sciences",4,1,3,4,7260,4,"No",11,3,1,0,37,3,2,6,4,0,2,"55+","6-10 years","7000-9999","6-10","0-1 years",0
113,"No",23,"Sales","Sales Representative","Male","Divorced","Travel_Rarely",2,1,"Technical Degree",3,3,1,1,2322,3,"No",13,3,3,1,3,3,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","1-5","0-1 years",0
116,"No",51,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",9,4,"Life Sciences",4,3,1,4,2075,3,"No",23,4,2,2,10,4,3,4,2,0,3,"45-54","3-5 years","Under 3000","6-10","0-1 years",0
117,"No",30,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",2,3,"Life Sciences",3,2,2,4,4152,1,"No",19,3,1,3,11,3,3,11,10,10,8,"25-34","10+ years","3000-4999","1-5","6+ years",0
118,"Yes",46,"Sales","Sales Executive","Male","Single","Travel_Rarely",9,2,"Medical",3,2,3,4,9619,1,"No",16,3,4,0,9,3,3,9,8,4,7,"45-54","6-10 years","7000-9999","6-10","4-5 years",1
119,"No",40,"Research & Development","Healthcare Representative","Male","Married","Travel_Frequently",1,4,"Life Sciences",3,2,4,2,13503,1,"No",22,4,4,1,22,3,2,22,3,11,11,"35-44","10+ years","10000+","1-5","6+ years",0
120,"No",51,"Sales","Sales Executive","Male","Single","Travel_Rarely",21,4,"Marketing",3,3,2,4,5441,0,"Yes",22,4,4,0,11,2,1,10,7,1,0,"45-54","6-10 years","5000-6999","21+","0-1 years",0
121,"No",30,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",4,2,"Medical",3,2,2,2,5209,1,"Yes",12,3,2,3,11,4,2,11,8,2,7,"25-34","10+ years","5000-6999","1-5","2-3 years",0
124,"No",46,"Research & Development","Healthcare Representative","Male","Married","Travel_Frequently",1,3,"Medical",3,2,3,1,10673,2,"Yes",13,3,3,1,21,5,2,10,9,9,5,"45-54","6-10 years","10000+","1-5","6+ years",0
125,"No",32,"Sales","Sales Executive","Male","Single","Travel_Rarely",6,4,"Medical",2,3,2,3,5010,1,"No",16,3,1,0,12,0,3,11,8,5,7,"25-34","10+ years","5000-6999","6-10","4-5 years",0
126,"No",54,"Research & Development","Research Director","Female","Married","Travel_Rarely",2,4,"Technical Degree",1,3,3,3,13549,9,"No",12,3,1,1,16,5,1,4,3,0,3,"45-54","3-5 years","10000+","1-5","0-1 years",0
128,"No",24,"Sales","Sales Executive","Female","Married","Travel_Rarely",3,2,"Other",1,3,2,3,4999,0,"No",21,4,1,1,4,2,2,3,2,0,2,"Under 25","3-5 years","3000-4999","1-5","0-1 years",0
129,"No",28,"Sales","Sales Executive","Male","Married","Non-Travel",4,3,"Medical",2,3,2,3,4221,1,"No",15,3,2,0,5,3,4,5,4,0,4,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
131,"No",58,"Sales","Sales Executive","Male","Single","Travel_Rarely",10,4,"Medical",4,3,4,3,13872,0,"No",13,3,3,0,38,1,2,37,10,1,8,"55+","10+ years","10000+","6-10","0-1 years",0
132,"No",44,"Research & Development","Laboratory Technician","Male","Married","Non-Travel",23,3,"Medical",2,3,2,2,2042,4,"No",12,3,3,1,17,3,4,3,2,1,2,"35-44","3-5 years","Under 3000","21+","0-1 years",0
133,"Yes",37,"Human Resources","Human Resources","Male","Divorced","Travel_Rarely",6,4,"Human Resources",3,3,1,1,2073,4,"Yes",22,4,4,0,7,3,3,3,2,0,2,"35-44","3-5 years","Under 3000","6-10","0-1 years",1
134,"No",32,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",1,1,"Life Sciences",4,3,1,1,2956,1,"No",13,3,4,0,1,2,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
137,"Yes",20,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",6,3,"Life Sciences",4,2,1,4,2926,1,"Yes",18,3,2,0,1,5,3,1,0,1,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
138,"No",34,"Research & Development","Research Scientist","Female","Single","Travel_Rarely",6,4,"Other",1,3,2,3,4809,1,"No",14,3,3,0,16,3,3,16,13,2,10,"25-34","10+ years","3000-4999","6-10","2-3 years",0
139,"No",37,"Research & Development","Healthcare Representative","Male","Divorced","Non-Travel",2,2,"Life Sciences",3,2,2,4,5163,5,"No",14,3,4,1,17,2,4,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
140,"No",59,"Human Resources","Manager","Female","Married","Non-Travel",2,4,"Human Resources",3,2,5,4,18844,9,"No",21,4,4,1,30,3,3,3,2,2,2,"55+","3-5 years","10000+","1-5","2-3 years",0
141,"No",50,"Research & Development","Research Director","Female","Married","Travel_Frequently",1,3,"Life Sciences",1,3,5,2,18172,3,"Yes",19,3,1,0,28,1,2,8,3,0,7,"45-54","6-10 years","10000+","1-5","0-1 years",0
142,"Yes",25,"Sales","Sales Executive","Male","Single","Travel_Rarely",5,3,"Marketing",3,2,2,3,5744,1,"Yes",11,3,4,0,6,1,3,6,4,0,3,"25-34","6-10 years","5000-6999","1-5","0-1 years",1
143,"No",25,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",7,1,"Medical",4,2,1,4,2889,1,"No",11,3,3,2,2,2,3,2,2,2,1,"25-34","1-2 years","Under 3000","6-10","2-3 years",0
144,"No",22,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",15,3,"Medical",2,3,1,4,2871,1,"No",15,3,3,0,1,5,3,0,0,0,0,"Under 25","Under 1 year","Under 3000","11-20","0-1 years",0
145,"No",51,"Research & Development","Healthcare Representative","Female","Single","Travel_Frequently",1,4,"Medical",1,2,3,1,7484,3,"No",20,4,3,0,23,1,2,13,12,12,8,"45-54","10+ years","7000-9999","1-5","6+ years",0
147,"Yes",34,"Research & Development","Laboratory Technician","Male","Single","Travel_Frequently",7,3,"Life Sciences",1,1,2,3,6074,1,"Yes",24,4,4,0,9,3,3,9,7,0,6,"25-34","6-10 years","5000-6999","6-10","0-1 years",1
148,"No",54,"Human Resources","Manager","Female","Single","Non-Travel",26,3,"Human Resources",4,4,4,4,17328,2,"Yes",12,3,3,0,23,3,3,5,3,4,4,"45-54","3-5 years","10000+","21+","4-5 years",0
150,"No",24,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",18,1,"Life Sciences",2,3,1,3,2774,0,"No",12,3,3,1,6,2,3,5,3,1,2,"Under 25","3-5 years","Under 3000","11-20","0-1 years",0
151,"No",34,"Research & Development","Research Scientist","Female","Divorced","Travel_Rarely",6,4,"Life Sciences",3,2,2,2,4505,6,"No",15,3,3,1,12,3,3,1,0,0,0,"25-34","1-2 years","3000-4999","6-10","0-1 years",0
152,"No",37,"Sales","Sales Executive","Male","Single","Travel_Rarely",3,3,"Life Sciences",3,3,3,4,7428,2,"No",12,3,1,0,12,3,3,5,3,1,3,"35-44","3-5 years","7000-9999","1-5","0-1 years",0
153,"No",34,"Research & Development","Manager","Female","Single","Travel_Rarely",5,3,"Medical",3,2,3,1,11631,2,"No",12,3,4,0,14,6,3,11,10,5,8,"25-34","10+ years","10000+","1-5","4-5 years",0
